Cuenca o Litoral,Grupo de especie,Formato,Especie,Nombre más común de la especie,Forma de presentación
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Eviscerado fresco
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Entero fresco
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Eviscerado enhielado
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Entero
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Entero fresco
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Eviscerado
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Eviscerado congelado
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Eviscerado fresco
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Entero
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Entero congelado
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Entero enhielado
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Entero fresco
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Eviscerado
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Eviscerado congelado
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Eviscerado enhielado
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Eviscerado fresco
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Entero fresco
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Eviscerado enhielado
Amazonía,Peces,PezOseo,Psectrogaster rhomboides,Cascudo,Entero fresco
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Descabezado
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Entero
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Entero fresco
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Eviscerado
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Eviscerado congelado
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Eviscerado fresco
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Rodaja
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Seco salado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Descabezado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Descabezado congelado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Entero
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Entero fresco
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Eviscerado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Eviscerado congelado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Eviscerado fresco
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Rodaja
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Seco salado
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Entero fresco
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Eviscerado fresco
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Entero enhielado
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Entero fresco
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Eviscerado
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Eviscerado congelado
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Eviscerado fresco
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Entero fresco
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Eviscerado congelado
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Eviscerado fresco
Amazonía,Peces,PezOseo,Rhamdia spp.,Liso,Entero fresco
Amazonía,Peces,PezOseo,Rhamphichthys rostratus,Cuchillo osa,Entero fresco
Amazonía,Peces,PezOseo,Rhaphiodon vulpinus,Perro payarin,Entero
Amazonía,Peces,PezOseo,Rhaphiodon vulpinus,Perro payarin,Entero fresco
Amazonía,Peces,PezOseo,Rhaphiodon vulpinus,Perro payarin,Eviscerado
Amazonía,Peces,PezOseo,Rhaphiodon vulpinus,Perro payarin,Eviscerado enhielado
Amazonía,Peces,PezOseo,Rhaphiodon vulpinus,Perro payarin,Eviscerado fresco
Amazonía,Peces,PezOseo,Rhytiodus sp. 1,Lisa negra,Entero fresco
Amazonía,Peces,PezOseo,Salminus hilarii,Dorada,Entero
Amazonía,Peces,PezOseo,Salminus hilarii,Dorada,Entero fresco
Amazonía,Peces,PezOseo,Salminus hilarii,Dorada,Eviscerado enhielado
Amazonía,Peces,PezOseo,Salminus hilarii,Dorada,Eviscerado fresco
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Entero
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Entero fresco
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Eviscerado
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Eviscerado congelado
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Eviscerado enhielado
Amazonía,Peces,PezOseo,Schizodon fasciatus,Lisa,Eviscerado fresco
Amazonía,Peces,PezOseo,Semaprochilodus insignis,Yaraqui,Entero enhielado
Amazonía,Peces,PezOseo,Semaprochilodus insignis,Yaraqui,Entero fresco
Amazonía,Peces,PezOseo,Semaprochilodus insignis,Yaraqui,Eviscerado enhielado
Amazonía,Peces,PezOseo,Semaprochilodus insignis,Yaraqui,Eviscerado fresco
Amazonía,Peces,PezOseo,Serrasalmus compressus,Puño,Entero
Amazonía,Peces,PezOseo,Serrasalmus manueli,Caribe,Entero fresco
Amazonía,Peces,PezOseo,Serrasalmus rhombeus,Caribe negro,Entero fresco
Amazonía,Peces,PezOseo,Serrasalmus rhombeus,Caribe negro,Eviscerado enhielado
Amazonía,Peces,PezOseo,Serrasalmus spp.,Caribe blanco,Entero fresco
Amazonía,Peces,PezOseo,Sorubim lima,Blanquillo,Entero
Amazonía,Peces,PezOseo,Sorubim lima,Blanquillo,Entero fresco
Amazonía,Peces,PezOseo,Sorubim lima,Blanquillo,Eviscerado congelado
Amazonía,Peces,PezOseo,Sorubim lima,Blanquillo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Sorubim lima,Blanquillo,Eviscerado fresco
Amazonía,Peces,PezOseo,Sorubim maniradii,Cucharo,Eviscerado congelado
Amazonía,Peces,PezOseo,Sorubim maniradii,Cucharo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Sorubim maniradii,Cucharo,Eviscerado fresco
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Entero
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Entero fresco
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Eviscerado
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Eviscerado congelado
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Eviscerado enhielado
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Eviscerado fresco
Amazonía,Peces,PezOseo,Sorubimichthys planiceps,Pejeleño,Seco salado
Amazonía,Peces,PezOseo,Sternopygus macrurus,Caloche,Entero fresco
Amazonía,Peces,PezOseo,Tetragonopterus argenteus,Pechas,Entero
Amazonía,Peces,PezOseo,Trachelyopterus galeatus,Novia Misingo,Entero fresco
Amazonía,Peces,PezOseo,Triportheus angulatus,Arenca,Entero fresco
Amazonía,Peces,PezOseo,Triportheus angulatus,Arenca,Eviscerado congelado
Amazonía,Peces,PezOseo,Triportheus angulatus,Arenca,Eviscerado enhielado
Amazonía,Peces,PezOseo,Triportheus angulatus,Arenca,Eviscerado fresco
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Entero
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Entero fresco
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Eviscerado
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Eviscerado congelado
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Eviscerado fresco
Amazonía,Peces,PezOseo,Zungaro zungaro,Pejesapo amarillo,Seco salado
Orinoquía,Peces,PezOseo,Acestrorhynchus microlepis,Agujeta,Entero fresco
Orinoquía,Peces,PezOseo,Acestrorhynchus microlepis,Agujeta,Eviscerado fresco
Orinoquía,Peces,PezOseo,Aequidens metae,Viejita,Entero fresco
Orinoquía,Peces,PezOseo,Aequidens tetramerus,Viejita,Entero fresco
Orinoquía,Peces,PezOseo,Aequidens tetramerus,Viejita,Eviscerado fresco
Orinoquía,Peces,PezOseo,Ageneiosus dentatus,Gato macho,Eviscerado fresco
Orinoquía,Peces,PezOseo,Ageneiosus spp.,Doncella,Eviscerado fresco
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Entero
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Entero fresco
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado congelado
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado fresco
Orinoquía,Peces,PezOseo,Anodus orinocensis,Saltón,Entero fresco
Orinoquía,Peces,PezOseo,Anodus orinocensis,Saltón,Eviscerado fresco
Orinoquía,Peces,PezOseo,Aphanotorulus ammophilus,Afanotorulo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Aphanotorulus ammophilus,Afanotorulo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Aphanotorulus emarginatus,Cucha amarilla,Entero
Orinoquía,Peces,PezOseo,Aphanotorulus emarginatus,Cucha amarilla,Entero fresco
Orinoquía,Peces,PezOseo,Aphanotorulus emarginatus,Cucha amarilla,Eviscerado congelado
Orinoquía,Peces,PezOseo,Aphanotorulus emarginatus,Cucha amarilla,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Aphanotorulus emarginatus,Cucha amarilla,Eviscerado fresco
Orinoquía,Peces,PezOseo,Arapaima gigas,Pirarucú,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Astronotus mikoljii,Oscar,Entero fresco
Orinoquía,Peces,PezOseo,Astronotus mikoljii,Oscar,Eviscerado
Orinoquía,Peces,PezOseo,Astronotus mikoljii,Oscar,Eviscerado congelado
Orinoquía,Peces,PezOseo,Astronotus mikoljii,Oscar,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Astronotus mikoljii,Oscar,Eviscerado fresco
Orinoquía,Peces,PezOseo,Boulengerella cuvieri,Agujeto,Entero fresco
Orinoquía,Peces,PezOseo,Boulengerella cuvieri,Agujeto,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Boulengerella cuvieri,Agujeto,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado
Orinoquía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Entero fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Seco salado
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Entero fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Seco salado
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Descabezado
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Entero fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Seco salado
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Entero
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Entero fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Seco salado
Orinoquía,Peces,PezOseo,Brycon amazonicus,Sábalo,Entero fresco
Orinoquía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado
Orinoquía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado congelado
Orinoquía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brycon sp.,Singo,Eviscerado
Orinoquía,Peces,PezOseo,Brycon sp.,Singo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brycon sp.,Singo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Brycon whitei,Yamuseta,Entero fresco
Orinoquía,Peces,PezOseo,Brycon whitei,Yamuseta,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Brycon whitei,Yamuseta,Eviscerado fresco
Orinoquía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Entero fresco
Orinoquía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado
Orinoquía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado congelado
Orinoquía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado fresco
Orinoquía,Peces,PezOseo,Caquetaia kraussii,Mojarra amarilla,Eviscerado
Orinoquía,Peces,PezOseo,Caquetaia kraussii,Mojarra amarilla,Eviscerado congelado
Orinoquía,Peces,PezOseo,Caquetaia kraussii,Mojarra amarilla,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Cephalosilurus apurensis,Rambosapo,Eviscerado
Orinoquía,Peces,PezOseo,Cephalosilurus apurensis,Rambosapo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Cephalosilurus apurensis,Rambosapo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Chalceus epakros,Ararí de línea,Entero fresco
Orinoquía,Peces,PezOseo,Chalceus epakros,Ararí de línea,Eviscerado fresco
Orinoquía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Entero fresco
Orinoquía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Eviscerado
Orinoquía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Eviscerado congelado
Orinoquía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Eviscerado fresco
Orinoquía,Peces,PezOseo,Cichla temensis,Tucunaré,Entero fresco
Orinoquía,Peces,PezOseo,Cichla temensis,Tucunaré,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Cichla temensis,Tucunaré,Eviscerado fresco
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Entero
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Entero fresco
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado congelado
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado fresco
Orinoquía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Seco salado
Orinoquía,Peces,PezOseo,Crenicichla sp.,Mataguaro Ventuari,Entero fresco
Orinoquía,Peces,PezOseo,Crenicichla sp.,Mataguaro Ventuari,Eviscerado fresco
Orinoquía,Peces,PezOseo,Crenicichla sp. 2,Mataguaro rojo,Entero fresco
Orinoquía,Peces,PezOseo,Crenicichla sp. 2,Mataguaro rojo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Crenicichla sp. 2,Mataguaro rojo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Entero
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Entero fresco
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Eviscerado
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Eviscerado congelado
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Curimata cerasina,Pechiroja,Eviscerado fresco
Orinoquía,Peces,PezOseo,Duopalatinus peruanus,Roncador,Eviscerado
Orinoquía,Peces,PezOseo,Duopalatinus peruanus,Roncador,Eviscerado congelado
Orinoquía,Peces,PezOseo,Duopalatinus peruanus,Roncador,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Duopalatinus peruanus,Roncador,Eviscerado fresco
Orinoquía,Peces,PezOseo,Exallodontus aguanai,Capitán amarillo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Exallodontus aguanai,Capitán amarillo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Geophagus abalios,Juan viejo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Entero fresco
Orinoquía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado
Orinoquía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Entero fresco
Orinoquía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Entero fresco
Orinoquía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hoplias curupira,Guabina común,Entero fresco
Orinoquía,Peces,PezOseo,Hoplias curupira,Guabina común,Eviscerado
Orinoquía,Peces,PezOseo,Hoplias curupira,Guabina común,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hoplias curupira,Guabina común,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado
Orinoquía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Seco salado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Entero
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Entero congelado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Entero enhielado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Entero fresco
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Eviscerado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hoplosternum littorale,Curito,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Entero
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Entero fresco
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hydrolycus armatus,Payara,Seco salado
Orinoquía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hydrolycus wallacei,Payala,Entero fresco
Orinoquía,Peces,PezOseo,Hydrolycus wallacei,Payala,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hydrolycus wallacei,Payala,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado
Orinoquía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hypophthalmus sp. 1,Faisán,Eviscerado congelado
Orinoquía,Peces,PezOseo,Hypophthalmus sp. 1,Faisán,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hypophthalmus sp. 1,Faisán,Eviscerado fresco
Orinoquía,Peces,PezOseo,Hypostomus plecostomus,Corroncho,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Hypostomus spp.,Hypostomo,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Entero
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Entero fresco
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado congelado
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado fresco
Orinoquía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Seco salado
Orinoquía,Peces,PezOseo,Leiarius sp. 1,Barbudo negro,Entero fresco
Orinoquía,Peces,PezOseo,Leporinus agassizii,Omima,Eviscerado
Orinoquía,Peces,PezOseo,Leporinus agassizii,Omima,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leporinus agassizii,Omima,Eviscerado fresco
Orinoquía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Entero fresco
Orinoquía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Eviscerado congelado
Orinoquía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Eviscerado fresco
Orinoquía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Entero fresco
Orinoquía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Eviscerado
Orinoquía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Eviscerado fresco
Orinoquía,Peces,PezOseo,Leporinus klausewitzi,Guaracú,Entero fresco
Orinoquía,Peces,PezOseo,Leporinus klausewitzi,Guaracú,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Leporinus klausewitzi,Guaracú,Eviscerado fresco
Orinoquía,Peces,PezOseo,Megaleporinus sp. 1,Cabeza de manteco,Entero fresco
Orinoquía,Peces,PezOseo,Megaleporinus sp. 1,Cabeza de manteco,Eviscerado
Orinoquía,Peces,PezOseo,Megaleporinus sp. 1,Cabeza de manteco,Eviscerado congelado
Orinoquía,Peces,PezOseo,Megaleporinus sp. 1,Cabeza de manteco,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Megaleporinus sp. 1,Cabeza de manteco,Eviscerado fresco
Orinoquía,Peces,PezOseo,Megalodoras guayoensis,Mata caiman,Entero fresco
Orinoquía,Peces,PezOseo,Megalodoras guayoensis,Mata caiman,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Megalodoras guayoensis,Mata caiman,Eviscerado fresco
Orinoquía,Peces,PezOseo,Megalonema platycephalum,Brillante,Eviscerado
Orinoquía,Peces,PezOseo,Megalonema platycephalum,Brillante,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Megalonema platycephalum,Brillante,Eviscerado fresco
Orinoquía,Peces,PezOseo,Metynnis hypsauchen,Moneda,Entero fresco
Orinoquía,Peces,PezOseo,Myloplus asterias,Garopa,Entero fresco
Orinoquía,Peces,PezOseo,Myloplus asterias,Garopa,Eviscerado
Orinoquía,Peces,PezOseo,Myloplus asterias,Garopa,Eviscerado enhielado
Orinoquía,Peces,PezOseo,Myloplus asterias,Garopa,Eviscerado fresco
Orinoquía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Entero fresco
